address,sqft,baths,beds,brokerName,has3DModel,hasImage,hasVideo,homeStatus,homeType,isFeatured,isShowcaseListing,is_FSBA,is_bankOwned,is_forAuction,is_newHome,is_openHouse,lotAreaUnit,lotAreaValue,price,priceLabel,priceChange,priceReduction,currency,rentZestimate,streetAddress,city,state,zipcode,country,taxAssessedValue,zestimate,zpid,latitude,longitude,marketingStatusSimplifiedCd,statusText,timeOnZillow,detailUrl,imgSrc
"11227 E 48th St, Kansas City, MO 64133",1972,2,3,NextHome Vibe Real Estate,TRUE,TRUE,FALSE,FOR_SALE,SINGLE_FAMILY,FALSE,TRUE,TRUE,,,,TRUE,acres,0.401,258000,$258K,,,USD,1753,11227 E 48th St,Kansas City,MO,64133,USA,123000,260100,2364830,39.034397,-94.44568,For Sale by Agent,House for sale,174046000,/homedetails/11227-E-48th-St-Kansas-City-MO-64133/2364830_zpid/,https://photos.zillowstatic.com/fp/7c8be76eeb06a0c717275e9d0f3a424b-p_e.jpg
"6300 E 101st St, Kansas City, MO 64134",1248,2,3,Platinum Realty LLC,FALSE,TRUE,FALSE,FOR_SALE,SINGLE_FAMILY,FALSE,FALSE,TRUE,,,,,acres,0.232,175000,$175K,,,USD,1446,6300 E 101st St,Kansas City,MO,64134,USA,98000,176000,2434926,38.94202,-94.5152,For Sale by Agent,House for sale,216663000,/homedetails/6300-E-101st-St-Kansas-City-MO-64134/2434926_zpid/,https://photos.zillowstatic.com/fp/3d7202d389c3dc66b8456bf7fffb7664-p_e.jpg
"630 NW 110th St, Kansas City, MO 64155",1444,3,3,Compass Realty Group,TRUE,TRUE,FALSE,FOR_SALE,SINGLE_FAMILY,FALSE,FALSE,TRUE,,,,,acres,0.115,240000,$240K,,,USD,2043,630 NW 110th St,Kansas City,MO,64155,USA,71210,234900,337750983,39.294163,-94.58732,For Sale by Agent,House for sale,1253441000,/homedetails/630-NW-110th-St-Kansas-City-MO-64155/337750983_zpid/,https://photos.zillowstatic.com/fp/fed3ec5de052423fb4825a50aedffe57-p_e.jpg
"1001 NW 70th St, Kansas City, MO 64118",2280,2,4,Keller Williams KC North,FALSE,TRUE,FALSE,FOR_SALE,SINGLE_FAMILY,FALSE,FALSE,TRUE,,,,,acres,0.34,265000,$265K,,,USD,1904,1001 NW 70th St,Kansas City,MO,64118,USA,35780,260800,66414438,39.221207,-94.59173,For Sale by Agent,House for sale,1167029000,/homedetails/1001-NW-70th-St-Kansas-City-MO-64118/66414438_zpid/,https://photos.zillowstatic.com/fp/7192bae794697e2ad92ca33089a045d4-p_e.jpg
"9705 Belmont Ave, Kansas City, MO 64134",1104,2,3,Van Noy Real Estate,FALSE,TRUE,FALSE,FOR_SALE,SINGLE_FAMILY,FALSE,FALSE,TRUE,,,,,acres,0.225,170000,$170K,,,USD,1407,9705 Belmont Ave,Kansas City,MO,64134,USA,74000,169600,2434286,38.94737,-94.51673,For Sale by Agent,House for sale,303031000,/homedetails/9705-Belmont-Ave-Kansas-City-MO-64134/2434286_zpid/,https://photos.zillowstatic.com/fp/287d753bfbdf1162cd9478e0b026d128-p_e.jpg
"543 NW 110th Ter, Kansas City, MO 64155",2331,3,4,RE/MAX Heritage,TRUE,TRUE,FALSE,FOR_SALE,SINGLE_FAMILY,FALSE,TRUE,TRUE,,,,TRUE,acres,0.23,450000,$450K,,,USD,2718,543 NW 110th Ter,Kansas City,MO,64155,USA,70890,453700,126305121,39.294334,-94.588234,For Sale by Agent,House for sale,130229000,/homedetails/543-NW-110th-Ter-Kansas-City-MO-64155/126305121_zpid/,https://photos.zillowstatic.com/fp/dc89cf507dcb71a712b66c0bbf1c86ed-p_e.jpg
"5414 NE 49th St, Kansas City, MO 64119",1840,2,3,Keller Williams Southland,FALSE,TRUE,FALSE,FOR_SALE,SINGLE_FAMILY,FALSE,FALSE,TRUE,,,,,acres,0.5,279500,$280K,,,USD,1597,5414 NE 49th St,Kansas City,MO,64119,USA,29260,285000,66435420,39.18301,-94.51588,For Sale by Agent,House for sale,43827000,/homedetails/5414-NE-49th-St-Kansas-City-MO-64119/66435420_zpid/,https://photos.zillowstatic.com/fp/72bf1debc71f0a1d2ed5d34323ee5d04-p_e.jpg
"Woodland Ave #12822, Kansas City, MO 64145",3349,3,5,ReeceNichols - Eastland,FALSE,TRUE,FALSE,FOR_SALE,SINGLE_FAMILY,FALSE,FALSE,TRUE,,,,TRUE,acres,0.36,550000,$550K,,,USD,,Woodland Ave #12822,Kansas City,MO,64145,USA,,,402438702,39.10683,-94.56006,For Sale by Agent,House for sale,48032000,/homedetails/Woodland-Ave-12822-Kansas-City-MO-64145/402438702_zpid/,https://photos.zillowstatic.com/fp/91098aa0f64f48c60f7903e87c1d9de5-p_e.jpg
"4015 E Red Bridge Rd, Kansas City, MO 64137",1948,3,3,RE/MAX State Line,FALSE,TRUE,FALSE,FOR_SALE,SINGLE_FAMILY,FALSE,FALSE,TRUE,,,,,acres,0.397,289000,$289K,,,USD,1567,4015 E Red Bridge Rd,Kansas City,MO,64137,USA,141000,292700,2467092,38.92401,-94.542114,For Sale by Agent,House for sale,46233000,/homedetails/4015-E-Red-Bridge-Rd-Kansas-City-MO-64137/2467092_zpid/,https://photos.zillowstatic.com/fp/93be1073069f853b523ca88c6d92907e-p_e.jpg
"11400 N Wayne Ave, Kansas City, MO 64155",1715,2,3,Keller Williams KC North,FALSE,TRUE,FALSE,FOR_SALE,SINGLE_FAMILY,FALSE,FALSE,TRUE,,,,TRUE,acres,0.45,335000,$335K,,,USD,2033,11400 N Wayne Ave,Kansas City,MO,64155,USA,43660,337300,66401432,39.30017,-94.55918,For Sale by Agent,House for sale,216663000,/homedetails/11400-N-Wayne-Ave-Kansas-City-MO-64155/66401432_zpid/,https://photos.zillowstatic.com/fp/fbd023997a2eee4e6367fa6b3761b2ee-p_e.jpg
"6823 Winchester Ave, Kansas City, MO 64133",876,1,2,KW KANSAS CITY METRO,TRUE,TRUE,FALSE,FOR_SALE,SINGLE_FAMILY,FALSE,FALSE,TRUE,,,,,acres,0.68,195000,$195K,,,USD,1150,6823 Winchester Ave,Kansas City,MO,64133,USA,51000,193800,2411350,39.000957,-94.504845,For Sale by Agent,House for sale,358535000,/homedetails/6823-Winchester-Ave-Kansas-City-MO-64133/2411350_zpid/,https://photos.zillowstatic.com/fp/98b6e9c03340b24987edd94d1a4a6b47-p_e.jpg
"10921 N Brooklyn Ave, Kansas City, MO 64155",2743,4,4,Compass Realty Group,FALSE,TRUE,FALSE,FOR_SALE,SINGLE_FAMILY,FALSE,FALSE,TRUE,,,,,acres,0.24,489000,$489K,,,USD,2952,10921 N Brooklyn Ave,Kansas City,MO,64155,USA,71670,494500,71165778,39.29198,-94.550606,For Sale by Agent,House for sale,43827000,/homedetails/10921-N-Brooklyn-Ave-Kansas-City-MO-64155/71165778_zpid/,https://photos.zillowstatic.com/fp/a233cd93319afbb9da15f48af4b94caa-p_e.jpg
"3641 N Walnut St, Kansas City, MO 64116",2324,2,3,Chartwell Realty LLC,FALSE,TRUE,FALSE,FOR_SALE,SINGLE_FAMILY,FALSE,FALSE,TRUE,,,,TRUE,acres,0.22,300000,$300K,,,USD,2007,3641 N Walnut St,Kansas City,MO,64116,USA,43800,303300,66446568,39.162354,-94.58053,For Sale by Agent,House for sale,8435000,/homedetails/3641-N-Walnut-St-Kansas-City-MO-64116/66446568_zpid/,https://photos.zillowstatic.com/fp/d9e589c4600417ed07ad9fe329a9dda9-p_e.jpg
"5020 N Kensington Ave, Kansas City, MO 64119",1872,2,4,Hagen Realty KC LLC,FALSE,TRUE,FALSE,FOR_SALE,SINGLE_FAMILY,FALSE,FALSE,TRUE,,,,,acres,0.2,240000,$240K,,,USD,1567,5020 N Kensington Ave,Kansas City,MO,64119,USA,23670,240900,66435093,39.186256,-94.52814,For Sale by Agent,House for sale,25854000,/homedetails/5020-N-Kensington-Ave-Kansas-City-MO-64119/66435093_zpid/,https://photos.zillowstatic.com/fp/0e30798a38e7a305fa2c75f2dd1604dd-p_e.jpg
"9009 E 90th Ter, Kansas City, MO 64138",2124,3,3,KW Diamond Partners,FALSE,TRUE,FALSE,FOR_SALE,SINGLE_FAMILY,FALSE,FALSE,TRUE,,,,,acres,0.185,195000,$195K,,,USD,1460,9009 E 90th Ter,Kansas City,MO,64138,USA,108000,199400,2438094,38.958717,-94.47959,For Sale by Agent,House for sale,346244000,/homedetails/9009-E-90th-Ter-Kansas-City-MO-64138/2438094_zpid/,https://photos.zillowstatic.com/fp/067137b0a8f708dc07d200e4178ee182-p_e.jpg
"7914 Ward Parkway Pl, Kansas City, MO 64114",1197,2,3,ReeceNichols - Overland Park,FALSE,TRUE,FALSE,FOR_SALE,SINGLE_FAMILY,FALSE,FALSE,TRUE,,,,,acres,0.241,325000,$325K,,,USD,1898,7914 Ward Parkway Pl,Kansas City,MO,64114,USA,159000,330200,2426474,38.98453,-94.60433,For Sale by Agent,House for sale,216663000,/homedetails/7914-Ward-Parkway-Pl-Kansas-City-MO-64114/2426474_zpid/,https://photos.zillowstatic.com/fp/9d202e99506c84c36f60ad3cc991450c-p_e.jpg
"8204 E 106th St, Kansas City, MO 64134",1258,2,3,Chartwell Realty LLC,FALSE,TRUE,FALSE,FOR_SALE,SINGLE_FAMILY,FALSE,FALSE,TRUE,,,,,acres,0.23,159900,$160K,,,USD,1232,8204 E 106th St,Kansas City,MO,64134,USA,89000,162300,2442585,38.932976,-94.49367,For Sale by Agent,House for sale,34567000,/homedetails/8204-E-106th-St-Kansas-City-MO-64134/2442585_zpid/,https://photos.zillowstatic.com/fp/0476c4a1915c212fc31c50a1ab4c9088-p_e.jpg
"5813 NW Klamm Dr, Kansas City, MO 64151",2180,3,3,Realty ONE Group Esteem,FALSE,TRUE,FALSE,FOR_SALE,SINGLE_FAMILY,FALSE,FALSE,TRUE,,,,,acres,0.26,327000,$327K,,,USD,2156,5813 NW Klamm Dr,Kansas City,MO,64151,USA,198494,317300,2492726,39.21613,-94.64791,For Sale by Agent,House for sale,3154218000,/homedetails/5813-NW-Klamm-Dr-Kansas-City-MO-64151/2492726_zpid/,https://photos.zillowstatic.com/fp/8a18d9f7143f54458f3a7326df7aff9e-p_e.jpg
"4935 N Troost Ave, Kansas City, MO 64118",2751,2,4,KW Diamond Partners,FALSE,TRUE,FALSE,FOR_SALE,SINGLE_FAMILY,FALSE,FALSE,TRUE,,,,,acres,0.57,330000,$330K,,,USD,2428,4935 N Troost Ave,Kansas City,MO,64118,USA,36970,331800,66423544,39.18421,-94.56693,For Sale by Agent,House for sale,188452000,/homedetails/4935-N-Troost-Ave-Kansas-City-MO-64118/66423544_zpid/,https://photos.zillowstatic.com/fp/056c5266e29ae8e915c498abd9cdf000-p_e.jpg
"4844 Overton Ave, Kansas City, MO 64133",1384,2,3,Premium Realty Group LLC,FALSE,TRUE,FALSE,FOR_SALE,SINGLE_FAMILY,FALSE,FALSE,TRUE,,,,,acres,0.183,145000,$145K,,,USD,1378,4844 Overton Ave,Kansas City,MO,64133,USA,85000,143900,2364329,39.034214,-94.46524,For Sale by Agent,House for sale,17435000,/homedetails/4844-Overton-Ave-Kansas-City-MO-64133/2364329_zpid/,https://photos.zillowstatic.com/fp/ee73b1d2de5110fdf7794f1bd2d38eed-p_e.jpg
"3341 Chestnut Ave, Kansas City, MO 64128",1366,1,3,"Real Broker, LLC-MO",FALSE,TRUE,FALSE,FOR_SALE,SINGLE_FAMILY,FALSE,FALSE,TRUE,,,,,acres,0.106,100000,$100K,,,USD,1314,3341 Chestnut Ave,Kansas City,MO,64128,USA,32000,98500,2333536,39.06482,-94.55046,For Sale by Agent,House for sale,16548000,/homedetails/3341-Chestnut-Ave-Kansas-City-MO-64128/2333536_zpid/,https://photos.zillowstatic.com/fp/2763644c136f8f52b1464c9ad547b160-p_e.jpg
"607 E 110th Ter, Kansas City, MO 64131",1802,2,4,Keller Williams Southland,FALSE,TRUE,FALSE,FOR_SALE,SINGLE_FAMILY,FALSE,FALSE,TRUE,,,,,acres,0.217,352500,$353K,,,USD,2050,607 E 110th Ter,Kansas City,MO,64131,USA,143000,360000,2470693,38.926987,-94.5848,For Sale by Agent,House for sale,2130000,/homedetails/607-E-110th-Ter-Kansas-City-MO-64131/2470693_zpid/,https://photos.zillowstatic.com/fp/e122bd675d277b818e893b13df6f505c-p_e.jpg
