address,area,availabilityDate,baths,beds,brokerName,builderName,buildingId,canSaveBuilding,communityName,detailUrl,has3DModel,hasAdditionalAttributions,hasImage,hasVideo,hdpData/homeInfo/bathrooms,hdpData/homeInfo/bedrooms,hdpData/homeInfo/city,hdpData/homeInfo/country,hdpData/homeInfo/currency,hdpData/homeInfo/datePriceChanged,hdpData/homeInfo/daysOnZillow,hdpData/homeInfo/homeStatus,hdpData/homeInfo/homeStatusForHDP,hdpData/homeInfo/homeType,hdpData/homeInfo/isFeatured,hdpData/homeInfo/isNonOwnerOccupied,hdpData/homeInfo/isPreforeclosureAuction,hdpData/homeInfo/isPremierBuilder,hdpData/homeInfo/isRentalWithBasePrice,hdpData/homeInfo/isShowcaseListing,hdpData/homeInfo/isUnmappable,hdpData/homeInfo/isZillowOwned,hdpData/homeInfo/latitude,hdpData/homeInfo/listing_sub_type/is_FSBA,hdpData/homeInfo/listing_sub_type/is_bankOwned,hdpData/homeInfo/listing_sub_type/is_forAuction,hdpData/homeInfo/listing_sub_type/is_newHome,hdpData/homeInfo/listing_sub_type/is_openHouse,hdpData/homeInfo/livingArea,hdpData/homeInfo/longitude,hdpData/homeInfo/lotAreaUnit,hdpData/homeInfo/lotAreaValue,hdpData/homeInfo/newConstructionType,hdpData/homeInfo/openHouse,hdpData/homeInfo/open_house_info/open_house_showing/0/open_house_end,hdpData/homeInfo/open_house_info/open_house_showing/0/open_house_start,hdpData/homeInfo/open_house_info/open_house_showing/1/open_house_end,hdpData/homeInfo/open_house_info/open_house_showing/1/open_house_start,hdpData/homeInfo/open_house_info/open_house_showing/2/open_house_end,hdpData/homeInfo/open_house_info/open_house_showing/2/open_house_start,hdpData/homeInfo/open_house_info/open_house_showing/3/open_house_end,hdpData/homeInfo/open_house_info/open_house_showing/3/open_house_start,hdpData/homeInfo/open_house_info/open_house_showing/4/open_house_end,hdpData/homeInfo/open_house_info/open_house_showing/4/open_house_start,hdpData/homeInfo/open_house_info/open_house_showing/5/open_house_end,hdpData/homeInfo/open_house_info/open_house_showing/5/open_house_start,hdpData/homeInfo/open_house_info/open_house_showing/6/open_house_end,hdpData/homeInfo/open_house_info/open_house_showing/6/open_house_start,hdpData/homeInfo/price,hdpData/homeInfo/priceChange,hdpData/homeInfo/priceForHDP,hdpData/homeInfo/priceReduction,hdpData/homeInfo/providerListingID,hdpData/homeInfo/rentZestimate,hdpData/homeInfo/shouldHighlight,hdpData/homeInfo/state,hdpData/homeInfo/streetAddress,hdpData/homeInfo/taxAssessedValue,hdpData/homeInfo/timeOnZillow,hdpData/homeInfo/unit,hdpData/homeInfo/videoCount,hdpData/homeInfo/zestimate,hdpData/homeInfo/zipcode,hdpData/homeInfo/zpid,imgSrc,info3String,isBuilding,isCdpResult,isComingSoonCommunity,isFavorite,isFeaturedListing,isHomeRec,isShowcaseListing,isUserClaimingOwner,isUserConfirmedClaim,latLong/latitude,latLong/longitude,listingType,lotId,marketingStatusSimplifiedCd,minArea,minBaths,minBeds,pgapt,plid,price,priceLabel,rawHomeStatusCd,sgapt,shouldShowZestimateAsPrice,statusText,statusType,streetViewURL,timeOnZillow,unitCount,variableData/text,variableData/type,visited,zpid
"11227 E 48th St, Kansas City, MO 64133",1972,,2,3,NextHome Vibe Real Estate,,,,,/homedetails/11227-E-48th-St-Kansas-City-MO-64133/2364830_zpid/,TRUE,TRUE,TRUE,FALSE,2,3,Kansas City,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,39.034397,TRUE,,,,TRUE,1972,-94.44568,acres,0.40103305785123966,,Sat. 11am-3pm,1.72212E+12,1.7221E+12,,,,,,,,,,,,,258000,,258000,,,1753,FALSE,MO,11227 E 48th St,123000,174046000,,,260100,64133,2364830,https://photos.zillowstatic.com/fp/7c8be76eeb06a0c717275e9d0f3a424b-p_e.jpg,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,39.034397,-94.44568,,,For Sale by Agent,,,,ForSale,,"$258,000 ",$258K,ForSale,For Sale (Broker),FALSE,House for sale,FOR_SALE,,174046000,,,,FALSE,2364830
"6300 E 101st St, Kansas City, MO 64134",1248,,2,3,Platinum Realty LLC,,,,,/homedetails/6300-E-101st-St-Kansas-City-MO-64134/2434926_zpid/,FALSE,TRUE,TRUE,FALSE,2,3,Kansas City,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,38.94202,TRUE,,,,,1248,-94.5152,sqft,10120,,,,,,,,,,,,,,,,,175000,,175000,,,1446,FALSE,MO,6300 E 101st St,98000,216663000,,,176000,64134,2434926,https://photos.zillowstatic.com/fp/3d7202d389c3dc66b8456bf7fffb7664-p_e.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38.94202,-94.5152,,,For Sale by Agent,,,,ForSale,,"$175,000 ",$175K,ForSale,For Sale (Broker),FALSE,House for sale,FOR_SALE,,216663000,,,,FALSE,2434926
"630 NW 110th St, Kansas City, MO 64155",1444,,3,3,Compass Realty Group,,,,,/homedetails/630-NW-110th-St-Kansas-City-MO-64155/337750983_zpid/,TRUE,TRUE,TRUE,FALSE,3,3,Kansas City,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,39.294163,TRUE,,,,,1444,-94.58732,sqft,4999,,,,,,,,,,,,,,,,,240000,,240000,,,2043,FALSE,MO,630 NW 110th St,71210,1253441000,,,234900,64155,337750983,https://photos.zillowstatic.com/fp/fed3ec5de052423fb4825a50aedffe57-p_e.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39.294163,-94.58732,,,For Sale by Agent,,,,ForSale,,"$240,000 ",$240K,ForSale,For Sale (Broker),FALSE,House for sale,FOR_SALE,,1253441000,,,,FALSE,337750983
"1001 NW 70th St, Kansas City, MO 64118",2280,,2,4,Keller Williams KC North,,,,,/homedetails/1001-NW-70th-St-Kansas-City-MO-64118/66414438_zpid/,FALSE,TRUE,TRUE,FALSE,2,4,Kansas City,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,39.221207,TRUE,,,,,2280,-94.59173,acres,0.3399908172635445,,,,,,,,,,,,,,,,,265000,,265000,,,1904,FALSE,MO,1001 NW 70th St,35780,1167029000,,,260800,64118,66414438,https://photos.zillowstatic.com/fp/7192bae794697e2ad92ca33089a045d4-p_e.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39.221207,-94.59173,,,For Sale by Agent,,,,ForSale,,"$265,000 ",$265K,ForSale,For Sale (Broker),FALSE,House for sale,FOR_SALE,,1167029000,,,,FALSE,66414438
"9705 Belmont Ave, Kansas City, MO 64134",1104,,2,3,Van Noy Real Estate,,,,,/homedetails/9705-Belmont-Ave-Kansas-City-MO-64134/2434286_zpid/,FALSE,TRUE,TRUE,FALSE,2,3,Kansas City,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,38.94737,TRUE,,,,,1104,-94.51673,sqft,9822,,,,,,,,,,,,,,,,,170000,,170000,,,1407,FALSE,MO,9705 Belmont Ave,74000,303031000,,,169600,64134,2434286,https://photos.zillowstatic.com/fp/287d753bfbdf1162cd9478e0b026d128-p_e.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38.94737,-94.51673,,,For Sale by Agent,,,,ForSale,,"$170,000 ",$170K,ForSale,For Sale (Broker),FALSE,House for sale,FOR_SALE,,303031000,,,,FALSE,2434286
"543 NW 110th Ter, Kansas City, MO 64155",2331,,3,4,RE/MAX Heritage,,,,,/homedetails/543-NW-110th-Ter-Kansas-City-MO-64155/126305121_zpid/,TRUE,TRUE,TRUE,FALSE,3,4,Kansas City,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,39.294334,TRUE,,,,TRUE,2331,-94.588234,sqft,10019,,Sat. 1am-3pm,1.72212E+12,1.72207E+12,,,,,,,,,,,,,450000,,450000,,,2718,FALSE,MO,543 NW 110th Ter,70890,130229000,,,453700,64155,126305121,https://photos.zillowstatic.com/fp/dc89cf507dcb71a712b66c0bbf1c86ed-p_e.jpg,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,39.294334,-94.588234,,,For Sale by Agent,,,,ForSale,,"$450,000 ",$450K,ForSale,For Sale (Broker),FALSE,House for sale,FOR_SALE,,130229000,,,,FALSE,126305121
"5414 NE 49th St, Kansas City, MO 64119",1840,,2,3,Keller Williams Southland,,,,,/homedetails/5414-NE-49th-St-Kansas-City-MO-64119/66435420_zpid/,FALSE,TRUE,TRUE,FALSE,2,3,Kansas City,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,39.18301,TRUE,,,,,1840,-94.51588,acres,0.5,,,,,,,,,,,,,,,,,279500,,279500,,,1597,FALSE,MO,5414 NE 49th St,29260,43827000,,,285000,64119,66435420,https://photos.zillowstatic.com/fp/72bf1debc71f0a1d2ed5d34323ee5d04-p_e.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39.18301,-94.51588,,,For Sale by Agent,,,,ForSale,,"$279,500 ",$280K,ForSale,For Sale (Broker),FALSE,House for sale,FOR_SALE,,43827000,,,,FALSE,66435420
"Woodland Ave #12822, Kansas City, MO 64145",3349,,3,5,ReeceNichols - Eastland,,,,,/homedetails/Woodland-Ave-12822-Kansas-City-MO-64145/402438702_zpid/,FALSE,TRUE,TRUE,FALSE,3,5,Kansas City,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,39.10683,TRUE,,,,TRUE,3349,-94.56006,acres,0.36,,Sat. 10am-2pm,1.72211E+12,1.7221E+12,1.7222E+12,1.72219E+12,,,,,,,,,,,550000,,550000,,,,FALSE,MO,Woodland Ave #12822,,48032000,# 12822,,,64145,402438702,https://photos.zillowstatic.com/fp/91098aa0f64f48c60f7903e87c1d9de5-p_e.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39.10683,-94.56006,,,For Sale by Agent,,,,ForSale,,"$550,000 ",$550K,ForSale,For Sale (Broker),FALSE,House for sale,FOR_SALE,,48032000,,,,FALSE,402438702
"4015 E Red Bridge Rd, Kansas City, MO 64137",1948,,3,3,RE/MAX State Line,,,,,/homedetails/4015-E-Red-Bridge-Rd-Kansas-City-MO-64137/2467092_zpid/,FALSE,TRUE,TRUE,FALSE,3,3,Kansas City,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,38.92401,TRUE,,,,,1948,-94.542114,acres,0.3972910927456382,,,,,,,,,,,,,,,,,289000,,289000,,,1567,FALSE,MO,4015 E Red Bridge Rd,141000,46233000,,,292700,64137,2467092,https://photos.zillowstatic.com/fp/93be1073069f853b523ca88c6d92907e-p_e.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38.92401,-94.542114,,,For Sale by Agent,,,,ForSale,,"$289,000 ",$289K,ForSale,For Sale (Broker),FALSE,House for sale,FOR_SALE,,46233000,,,,FALSE,2467092
"11400 N Wayne Ave, Kansas City, MO 64155",1715,,2,3,Keller Williams KC North,,,,,/homedetails/11400-N-Wayne-Ave-Kansas-City-MO-64155/66401432_zpid/,FALSE,TRUE,TRUE,FALSE,2,3,Kansas City,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,39.30017,TRUE,,,,TRUE,1715,-94.55918,acres,0.45,,Sat. 1-3pm,1.72212E+12,1.72211E+12,1.7222E+12,1.7222E+12,,,,,,,,,,,335000,,335000,,,2033,FALSE,MO,11400 N Wayne Ave,43660,216663000,,,337300,64155,66401432,https://photos.zillowstatic.com/fp/fbd023997a2eee4e6367fa6b3761b2ee-p_e.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39.30017,-94.55918,,,For Sale by Agent,,,,ForSale,,"$335,000 ",$335K,ForSale,For Sale (Broker),FALSE,House for sale,FOR_SALE,,216663000,,,,FALSE,66401432
"6823 Winchester Ave, Kansas City, MO 64133",876,,1,2,KW KANSAS CITY METRO,,,,,/homedetails/6823-Winchester-Ave-Kansas-City-MO-64133/2411350_zpid/,TRUE,TRUE,TRUE,FALSE,1,2,Kansas City,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,39.000957,TRUE,,,,,876,-94.504845,acres,0.6799999999999999,,,,,,,,,,,,,,,,,195000,,195000,,,1150,FALSE,MO,6823 Winchester Ave,51000,358535000,,,193800,64133,2411350,https://photos.zillowstatic.com/fp/98b6e9c03340b24987edd94d1a4a6b47-p_e.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39.000957,-94.504845,,,For Sale by Agent,,,,ForSale,,"$195,000 ",$195K,ForSale,For Sale (Broker),FALSE,House for sale,FOR_SALE,,358535000,,,,FALSE,2411350
